author,quote
Naomi Osaka,I feel like I play better when I'm calm. There is an inner peace I can tap into sometimes during my matches.
Edith Wharton,"Old age, calm, expanded, broad with the haughty breadth of the universe, old age flowing free with the delicious near-by freedom of death."
Aleksandar Mitrovic,I want to show I can control my emotion and aggression and stay calm.
Deepak Chopra,"We must go beyond the constant clamor of ego, beyond the tools of logic and reason, to the still, calm place within us: the realm of the soul."
Damian Lewis,"I've always had a 'Work hard, play hard' attitude to life - I still do - but sometimes you get involved in something that needs a calm, methodical approach."
Alisson,"I like to show my ability on the field. I'm not one to show off with words. I'm really looking forward to the chance. I'm a calm goalkeeper, and above all, I've got a real desire to win. When I get on the pitch, I give everything for the team, everything for the shirt."
Mason Cooley,Romance is tempestuous. Love is calm.
Desiigner,The biggest challenge for me is just knowing how to calm down.
Rudy Giuliani,"My father taught me, in boxing, that when you - particularly when you get hit in the face for the first time - you're going to panic. That instead of panicking, just accept it. Stay calm. And any time anybody hits you, they always leave themselves open to be hit."
Kelsang Gyatso,"The purpose of meditation is to make our mind calm and peaceful. If our mind is peaceful, we will be free from worries and mental discomfort, and so we will experience true happiness. But if our mind is not peaceful, we will find it very difficult to be happy, even if we are living in the very best conditions."
Keith Thurman,"There's no real rush to answer the questions you face. To apply the best intellectual answer, you should clear your mind, stay calm, assess the question as well as you can to be comfortable, and then respond."
Inbee Park,There are calm Korean players and not calm. There are calm Western players.
David Mitchell,"A life can get knocked into a new orbit by a car crash, a lottery win or just a bleary-eyed consultant giving bad news in a calm voice."
W. E. B. Du Bois,"St. Louis sprawls where mighty rivers meet - as broad as Philadelphia, but three stories high instead of two, with wider streets and dirtier atmosphere, over the dull-brown of wide, calm rivers. The city overflows into the valleys of Illinois and lies there, writhing under its grimy cloud."
Clarence Clemons,"The calm mind allows one to connect with the inner self, the Soul, the very source of our being. That's where the music lives. That's where my music comes from."
Victoria Arlen,"'Good Life' was my gold-medal song and is what I sing when I need to get focused and keep calm. It also just makes me super happy, and I love jamming out."
Canelo Alvarez,"I have to stay calm, cool, and collected."
Nate Berkus,"In a small space, you want to keep the bedding as simple as possible so it looks clean, calm and collected."
Taylor Fritz,One of my strongest assets is my ability to be calm under pressure.
Angelina Jolie,I never felt settled or calm. You can't really commit to life when you feel that.
Steven Hall,"He was a great man, my granddad, a very calm, logical and methodical guy. I suppose I'm trying to be more like him as I get older."
Andre Leon Talley,"Mrs. Obama has a hug - a sincere and friendly embrace - that has become familiar to countless supporters from coast to coast. And when she talks to you, she focuses all her calm attention on your face."
Lech Walesa,"Obviously people want social calm, but if you do not let clever and ingenious people to participate, obviously there must be some dormant volcano that will erupt, sooner or later."
Liev Schreiber,"You'd think true masculinity was just calm and collected happiness. So alpha male that it needs not or worries not. But typically masculine characters are always fighting, and most violence comes from some agitated level of fear and anxiety."
Abigail Adams,"I begin to think, that a calm is not desirable in any situation in life. Man was made for action and for bustle too, I believe."
Brianna Keilar,Real leadership is calm. Real leadership is steady in moments of crisis. It is not hysterical. It is not exploitive. It is not dishonest.
Declan Rice,"I'm always composed, calm, and always believe in my own ability, and if I start well, then I end up having a good game, usually."
Willard Scott,"I still start to get panicky each morning before I go on television. I'll say, 'I'm in awful shape, something is wrong,' and if I start to look like I'm going off the deep end, Jimmy Straka, the stage manager, will say, 'You're all right. Calm down.' Then Bryant Gumbel will grab me by the leg or something."
Miguel Indurain,"I inherited that calm from my father, who was a farmer. You sow, you wait for good or bad weather, you harvest, but working is something you always need to do."
Fernando Alonso,"I have always been very calm on the outside. I'm not too stressed now just because I'm in formula one. For me, tomorrow will be another day whether I finish first or last. I have to do the maximum and I cannot ask any more from myself."
Shiv Nadar,"If you are calm about your ambitions, you become confident of achieving what you set out to do."
Sophia Di Martino,"It's not exactly calm at Christmas. It's a bit like the Simpsons appearing in a pasta advert - lots of bickering, crazy pets, and plenty of tomato sauce!"
Nassim Nicholas Taleb,Banking is a very treacherous business because you don't realize it is risky until it is too late. It is like calm waters that deliver huge storms.
Mary Cain,"I never let myself get psyched out. My motto is, 'Stay calm and carry on.'"
Jon Kabat-Zinn,Breathing is central to every aspect of meditation training. It's a wonderful place to focus in training the mind to be calm and concentrated.
Yves Saint Laurent,I live in solitude. I have need of solitude to do the next day's work. I can't be to parties where the noise tires me. I can't speak on the telephone. I must have complete calm.
Thomas Arnold,"One's age should be tranquil, as childhood should be playful. Hard work at either extremity of life seems out of place. At midday the sun may burn, and men labor under it; but the morning and evening should be alike calm and cheerful."
Dahyun,I try to be positive and calm all the time.
Virat Kohli,"I love soccer, love tennis... Roger Federer has been a favourite for a long, long time. The kind of consistency he has shown, 16 Grand Slam titles... The way he handles himself in pressure situations is admirable... He is so calm... In soccer, I'm a huge fan of Barcelona... I like watching Cristiano Ronaldo, Lionel Messi and David Villa."
Thomas P. Campbell,"Museums are like the quiet car of the world. It's a place you can come to escape, where there's authenticity, there's uniqueness, there's calm, there's physicality."
Tim Allen,"In my experience, it's all wonderful with girls until about 16. Around that time, boys kind of calm down and start focusing their testosterone. Girls get a little challenging, especially for fathers."
Atif Aslam,"Yes, I think I am like the sea. I appear calm on the surface, but there's a lot going on within. Many a times, I may not react to certain things, but that doesn't mean that I don't care or I don't have emotions."
Tom Ford,"I'm a pretty calm person. That came from living in Italy for a long time. Nothing works, nothing is on time. You have to learn to deal with it."
Rebecca Solnit,"The great majority of people are calm, resourceful, altruistic or even beyond altruistic, as they risk themselves for others. We improvise the conditions of survival beautifully."
Paul Simon,I always get very calm with baseball.
Martha Beck,"I practice staying calm all the time, beginning with situations that aren't tense."
Twiggy,"If I want to calm down, I'll buy some fabric, get a pattern, shut myself in a room and stay there for days, really happy. And at the end of it, you get a bedspread or some curtains or something to wear - it's lovely."
Swami Sivananda,"A desire arises in the mind. It is satisfied immediately another comes. In the interval which separates two desires a perfect calm reigns in the mind. It is at this moment freed from all thought, love or hate. Complete peace equally reigns between two mental waves."
Thich Nhat Hanh,"You practice mindfulness, on the one hand, to be calm and peaceful. On the other hand, as you practice mindfulness and live a life of peace, you inspire hope for a future of peace."
Rafael Nadal,"The thing, when you're down two sets to love, is to stay calm, even though it's hard, because people are freaking out, people are worried for you."
Sergio Ramos,We have to keep calm and stick together; that's the key to success.
David Goffin,"Even if sometimes I'm not happy with the way I'm playing the game before, during the changeover I have to stay calm. Otherwise the next game will be worse."
Q'orianka Kilcher,"The things I do, I do from the heart and out of love and respect for our planet and all living things. And I draw my courage from my love for justice and truth, and I calm my fears by comforting those who are more scared than me. And I try to do my best to make the world a better place, one small action at a time, as good as I can."
Izaak Walton,"God never did make a more calm, quiet, innocent recreation than angling."
Ronaldo,"I had an injury in my leg, and everybody was talking about that. I decided to cut my hair and leave the small thing there. I come to training, and everybody saw me with bad hair. Everybody was talking about the hair and forgot about the injury. I could stay more calm and relaxed and focused on my training."
Buster Douglas,"My training sessions were nice, calm, and quiet. Just me and my trainers in the gym."
Edward G. Bulwer-Lytton,"Power is so characteristically calm, that calmness in itself has the aspect of strength."
Jocko Willink,"Since the team understands that the leader is de facto in charge, in that respect, a leader has nothing to prove. But in another respect, a leader has everything to prove: Every member of the team must develop the trust and confidence that their leader will exercise good judgment, remain calm, and make the right decisions when it matters most."
Ashwin Kumar,"As a human, you tend to lose your calm at some point. But I ensured I was being myself through the journey. I feel people liked my honesty and casualness."
Bryn Terfel,Good acting is about being as natural and calm as possible. These days producers have such definite ideas that you have to be prepared to do whatever they ask.
Joey Chestnut,You need to stay calm the day of the contest. Not let the weather bother me and just relax.
Alex Turner,I'm not even sure where home is. Probably Terminal 5. There is a strange sense of calm about arriving back at Heathrow.
Marcus Tullius Cicero,"The pursuit, even of the best things, ought to be calm and tranquil."
Franklin P. Jones,"The British have a remarkable talent for keeping calm, even when there is no crisis."
David Mallet,"Affliction is the wholesome soil of virtue, where patience, honor, sweet humility, and calm fortitude, take root and strongly flourish."
Pope Shenouda III,Calm can solve all issues.
Erica Mena,I think that Puerto Rico just has this calm and peace.
Didier Deschamps,"We arrived at the 2002 World Cup with two titles, very calm, well organised, maybe missing a bit of concentration. But the only truth is on the pitch. The dangers are there."
Natalia Lafourcade,"The Macorinos and me - there's a big space between our generations. The people I was used to work with, we will do everything faster. And the Macorinos were more, like, calm. They were patient with music, and they were paying a lot of attention to the details."
Zooey Deschanel,"If I could give my teenaged self any advice, it would be 'Calm down!'"
Alexander Lukashenko,"For the sake of calm in the country, I am ready to sacrifice my own sanity."
Kent Brantly,"Even with the bad news, I felt calm. I never shed a tear when I called my wife and said, 'Amber, my test is positive. I have Ebola.'"
Sofia Coppola,"My mom is very calm and quiet, so I think I got that from her. Because my dad is passionate and loud... It was always interesting, and I really enjoyed that my parents always included us in their lives."
Bruce Arians,"I think all the great ones have it. They just have a will they can put on their teammates. Refuse to lose mentality. When you step in the huddle with any of those guys, you're so calm that he knows what the heck he's doing and he can get the job done."
Darin Strauss,Characters stretching their legs in some calm haven generally don't make for interesting protagonists.
Katie Lowes,"When I start my mornings, I put some essential oils in a diffuser; it might be orange blossom or jasmine to energize and spruce me up or lavender at night to really calm me down."
Emma Thompson,"But when I lose my temper, I find it difficult to forgive myself. I feel I've failed. I can be calm in a crisis, in the face of death or things that hurt badly. I don't get hysterical, which may be masochistic of me."
Joyce Carol Oates,"Criticism is, for me, like essay writing, a wonderful way of relaxation; it doesn't require a heightened and mediated voice, like prose fiction, but rather a calm, rational, even conversational voice."
Kemba Walker,"I love Charlotte. I'm more reserved and calm and laid back, and this city is slow."
Steven Seagal,"As a lifelong practitioner of martial arts, I'm trained to remain calm in the face of adversity and danger."
Goldie Hawn,The ability to remain calm and focused in stressful situations is central to making positive decisions.
William Cullen Bryant,"The moon is at her full, and riding high, Floods the calm fields with light. The airs that hover in the summer sky Are all asleep tonight."
Diego Costa,"You just have to be prepared because in the Premier League, you are not always going to have more than once chance to score. When it comes your way, you have to be ready to take that chance. If you're not calm, you know it might not come again."
Alesha Dixon,"I used to have seven dogs; now I have a more manageable four. I was in Cornwall, and one dog got swept away downstream, so my cousin dived in to get it, then her dog dived in. So I jumped in to rescue hers. Those dogs are my calm. That's how I cope with the business - I get the sanity on my woodland dog walks, being a tomboy."
Richard Jefferies,"A kestrel can and does hover in the dead calm of summer days, when there is not the faintest breath of wind. He will, and does, hover in the still, soft atmosphere of early autumn, when the gossamer falls in showers, coming straight down as if it were raining silk."
Margaret Cuomo,"How can we maximize the benefit of our nightly sleep? Turn off cell phones, computers, televisions, and any other distracting devices before bedtime to establish an atmosphere of calm and restfulness."
Oren Peli,"Our lives are pretty calm. Merging on the freeway in the closest you get to risking your life. So what's missing now is that primal emotion of being scared to death, and I think that's why people crave thrills like roller coasters or scary movies. They give you the chance to feel this very primal emotion in a very controlled environment."
Britne Oldford,I've always loved cemeteries since I was a kid. They're very calm.
Zawe Ashton,"My dad constantly tells me I should calm down, but I feel so sad when I see places I've known since I was a child closing. I burst out crying when a local pharmacy closed the other day; it's just going to become a shop that nobody has much of a need for. But I am trying to move with the times."
Charlotte Perkins Gilman,"When the mother of the race is free, we shall have a better world, by the easy right of birth and by the calm, slow, friendly forces of evolution."
Frankie Boyle,"Only the British could experience great pain at the thought of a traffic jam - a place where you can sit alone with your radio on without being expected to do any work. Aren't traffic jams unbearable? By the time you get home, you need to sit alone in a comfy chair with your favourite music on just to calm down."
Bonnie Hammer,"It's all about tuning out the noise, tuning out all the stuff that simply doesn't move the game forward - the doubt, the personal agendas, the often deafening fear of judgment and the need to please - so that you can ultimately get to that place of quiet, of calm, where you can focus on what really matters."
Bozoma Saint John,It's our job as marketers and brand professionals to nurture the brand and calm it down when it's angry and to encourage when it's trying to grow.
Divya Agarwal,"With Salman, I need to keep myself a little calm but that wouldn't stop me from saying what I want to."
Dale Steyn,"When I am off the field, I am the calm, very quiet kind of easy-sailing ocean, and then when I am on a hot streak with a cricket ball, I can be the most disastrous waters you have ever been in."
Brianna Hildebrand,The yoga pose helps me to calm down and focus when I need to.
Jake Tapper,I'm quite calm when all is well.
Eddie Vedder,"I've never been a calm, midrange type person."
Brie Larson,"I made three or four different fonts during 'Short Term 12' -' it was how I'd calm my mind between scenes. I have graph paper and gel pens, and I would do the alphabet: just do 'a' over and over again until I got it perfect and then go to 'b' and then 'c'."
Moshe Dayan,"I feel I've lived so long, and went through so much, that all I want is calm and rest."
Owain Yeoman,"I work in a business of extremes, so when you are with someone who is very calm and logical, it's a great kind of balance to have."
Chris Eubank Sr.,"Benn was brute force, wasn't he? But he found God when he was 40... and the only reason I beat him, was because I was brought up in the church. It teaches you to be calm to be objective and steady and the reasoning I used beat him - and he found it when he was 40. I didn't change anything: there is only one way, to be calm, gentle and true."
Naomi Campbell,"I don't work out as much as I should, but I do believe that it's a healthy mind as well as a healthy body that keeps me fit, sound and calm."
Travis Bradberry,"'What if?' statements throw fuel on the fire of stress and worry. Things can go in a million different directions, and the more time you spend worrying about the possibilities, the less time you'll spend focusing on taking action that will calm you down and keep your stress under control."
Christen Press,I think I approach pressure by having discipline and learning to be calm in everyday life. I do this with a daily mindfulness practice and commitment.
Cynthia McKinney,"I can't be calm when I drive through sections of Atlanta that look more like Kinshasa, Democratic Republic of Congo, than America."
Bella Thorne,"I don't have to try to be perfect because I know that my fans like me for who I am. They like me because I am weird and kind of funky, but still really calm."
Chuck Todd,"The unknown has undone many a president, and no matter the popularity of an Oval Office occupant, any and all presidents are vulnerable. Of course, one thing that seems to set Obama part from his recent predecessors is his ability to keep an inner calm about tough issues."
Annabelle Selldorf,I make spaces that are calm rather than confrontational. I seek a certain kind of logic that allows you to move in space and perceive it as beautiful and rational. Clarity is a worthwhile quality.
Roger Ailes,"Everybody fears the unknown. But I have a strong feeling there's something bigger than us. I don't think all this exists because some rocks happened to collide. I'm at peace. When it comes, I'll be fine, calm. I'll miss life, though. Especially my family."
Mike Daniels,"Take a deep breath. When the game comes, no matter what happens, you can always keep your cool. I'm a bit of a hot head, a bit of a spaz, so it really helps me calm myself down during the game."
Kate Micucci,"I babysat kids in a ShopRite, which is a grocery store. They had a babysitting center so that parents could bring their children while they shopped. It was awful. I also was not very good at keeping the kids calm."
Ana Ivanovic,"It's not good to stretch when you're cold. Get your heart rate up, and once you finish, take time to stretch and let your body calm down."
Valtteri Bottas,"I think Finns in general, we are quite calm and I think we're mentally in general quite strong, and we don't mind to be alone. We are lonely wolves, a lot of us."
Dee Dee Myers,"Part of Obama's persona is self-reliance. He's calm; he's cool; he's self-possessed. In many ways, he has tried to define himself in opposition to Clinton's sometimes needy, often undisciplined, emotionalism."
Suzanne Fields,"Many critics of the Palestinians, especially those in Congress, think the current calm is merely the eye of the storm. That's why the House of Representatives approved a foreign aid package last week that forbade the direct financial assistance to the Palestinian Authority ."
April Gornik,"I wouldn't say I'm addicted, but I never, ever skip yoga. I use it to calm down and slow down."
Clemantine Wamariya,"It occurred to me that memorials shouldn't be grand. If you really want to honor the memory of a tragedy, you shouldn't create areas of calm reflection. You should make people uncomfortable. Put them in the shoes of those who perpetrated and those who suffered. Then ask, would they be able to forgive in these situations?"
Stephanie Labbe,"We have been training penalties and for me, I know my mindset is one of my strongest attributes of my game. I know those are the moments when I can really shine, and bring the attributes that I'm good at, and that is being calm and composed and trusting myself."
Cesar Millan,"Oprah is a wealthy person, pack leader of the human world. So many see her as the dominant one, as the authority figure. The way I view her energy, seeing her on TV, is a very calm, quiet energy. You need, in order to gain control, higher energy than your dog."
Tony Cardenas,"Meditation is about getting to a place where you're approaching things in a more calm, centering place rather than allowing yourself to get caught up in it."
Colman Domingo,I tend to be pretty calm.
Victor Garber,"One day, we were doing a serious scene and fast talking like we do and we could not stop laughing and the director had to stop the production. We had to go to our trailer and calm down and do it all again."
Domino Kirke,"When I sing, I feel calm."
Bret Hart,My father was a man's man and was always respected for being a straight shooter. My dad always had an amazing sense of calm about him.
Thich Nhat Hanh,"When you have peace in yourself and accept, then you are calm enough to do something, but if you are carried by despair, there is no hope."
Dean Potter,"If I have a combination of calm and fear, I access mental states way beyond normal consciousness. That's why I choose to do scary things."
Robert Pinsky,"I don't like to have a calm, orderly, quiet place to work. I often compose while driving, compose in my head. It is true that I wrote my little book, 'The Sounds of Poetry, A Brief Guide,' almost entirely in airplanes and airport departure lounges."
Iker Casillas,"I think I'm very calm in adversity, always remaining calm, and I don't panic. I think that's the main thing."
Cressida Dick,"There is something about putting the uniform on. You've got a role to play, to be calm, to lead other people, to go forward when everyone else is running away. It gives you a sense of, not of courage but, 'It's my job.'"
Zion Williamson,"New Orleans is my kind of city. I think there's a lot going on, but it's also very calm. It's a place where I can actually drive a car without being stuck in traffic for for 40, 50 minutes. It's my kind of city. A lot going on but still calm."
Laurie Hernandez,"Usually, before I salute the judge, I'm able to just grab the event, and I pray on it, and that really grounds me. For some reason, once I do that, I am able to think clearly, and I'm able to calm down right before I compete."
Raphael Varane,"Zidane's success comes from transmitting calm and never changing that no matter what is happening. That serenity and tranquility conveys confidence and security. He talks little but when he does, it matters."
Brittany Snow,"It may sound lame, but I've been journaling since I was in third grade. I love it! It makes me feel calm and happy."
Rafael Nadal,"I've stayed calm when I'm winning and I've stayed calm when I've lost. Tennis is a sport where we have a lot of tournaments every week, so you can't celebrate a lot when you have big victories, and you cannot get too down when you're losing, as in a few days you'll be in the next tournament and you'll have to be ready with that."
Christopher Walken,"Early on, I played one or two disturbed people, and I guess I must have been good at it, because it stuck. But, you know, I'm a regular guy. I stay home a lot, I make an effort to keep a distance from the whole social thing, the openings, the parties. I try to live in a calm way."
Robin Van Persie,"Great players must always produce and at any time or in any game. Give them a ball and a pitch, and they will show what they've got. That relaxed, calm spirit you don't really have when you are young."
Gayle King,"I normally don't love green juices, but Body & Eden makes theirs tasty by blending ingredients like avocado and banana with the usual suspects like kale and spinach. Delicious as they are, they're low calorie, and the drink names are catchy: I Have Balance, I Have Energy, and my favorite, I Have Calm."
Claudia Schiffer,I am calm most of the time.
Frank Bruno,If your brain's not right they have good people at the NHS to help you fix it and talk to and counselling to calm you down and to focus you.
Angelina Jolie,"I'd like to think that I'm a calm and sweet person. I tend to be very playful at home with my children, but in life... we have to fight our battles - our work battles, our political battles, our personal battles - and we're focused."
Donna Shalala,By putting people around me who will calm me down and slow me down and make sure I work through an issue.
John Mackey,I've been doing long-distance backpacking since 2002 when I hiked the Appalachian Trail. You start to calm down and relax and get into the slower rhythm of nature.
Glen Mazzara,"When you're managing an emergency department, you're trying to keep everybody calm, so when an emergency comes in the door, everyone can do their best work."
Anna Akana,"'Loose Ends' was an all-female crew and one of the greatest on-set experiences I've ever had. We were ahead of schedule every day, and there was a laid-back, calm, supportive vibe that was entirely new to all of us."
Phil Taylor,"With darts it's just one against one, it's blow for blow. The only thing I could compare it to is boxing. It's dead exciting. You're reacting to each other, the adrenaline's pumping. You don't feel calm at all. But it's all about being able to win when you're pumped up. People say you don't play the player; I play the player every time."
Steve Burns,"When I was a kid, my mom used to run the vacuum cleaner, and the noise would bother me so much that I would run into the woods to calm down. I feel like that vacuum cleaner has been on since I moved to New York City."
Robert Wilson,"My theater is slow and calm, yet my life is fast and hectic, going in all directions."
Chris Hemsworth,"My daughter is full energy, like my wife and I, and strong-minded and has an opinion, like we do. And my boys, one's a bit more calm and chill, and the other is much more sensitive to things. You see this right away, when they're first born. One cried, one didn't, with the boys."
Romain Grosjean,"Monaco is a very special event in its own right, and the atmosphere is quite crazy! As a driver, you have to stay calm and relaxed and try to do your job."
Dennis Lloyd,I'm a very calm person.
