author,quote
Jidenna,"A classic man is a distinguished man. He cares about taste and his craft. He's all about the simple model that I live by - eat, drink, be swanky, and have fun getting the job done. He makes sure that he's excellent in all things and that he cares about his neighborhood immensely."
Zac Efron,"I don't know if I believe in love at first sight, but of course I believe in two people having chemistry right away. A girl should be really easy to talk to. When I lose track of time because we've been talking, I think that's really fun."
Craig Sager,I will live my life full of love and full of fun. It's the only way I know how.
Bum Phillips,Winning is only half of it. Having fun is the other half.
Barry Gibb,"As long as you're having fun, that's the key. The moment it becomes a grind, it's over."
Mekhi Phifer,"I've gotten to travel all over the world and meet all kinds of people and do all kinds of great things, so it's, like, surreal. It just lets you know how time flies, especially when you're having fun. It seems like time keeps going by faster as I get older."
John Muir,"Any fool can destroy trees. They cannot run away; and if they could, they would still be destroyed - chased and hunted down as long as fun or a dollar could be got out of their bark hides, branching horns, or magnificent bole backbones."
Cristiano Ronaldo,"I'm proud to play for Real Madrid because I have fun; when you no longer have fun it's a sign that it's time to leave. For now though, I'm happy here at the greatest club in the world."
Ray Bradbury,The great fun in my life has been getting up every morning and rushing to the typewriter because some new idea has hit me.
Woody Allen,Most of the time I don't have much fun. The rest of the time I don't have any fun at all.
Celia Imrie,A 'naughty pickle' is how I'd best describe myself. I think fun and laughter is the whole point of life.
Robert A. Heinlein,"Don't ever become a pessimist... a pessimist is correct oftener than an optimist, but an optimist has more fun, and neither can stop the march of events."
Dave Barry,Skiing combines outdoor fun with knocking down trees with your face.
Tony Gwynn,Remember these two things: play hard and have fun.
Sameera Reddy,"Baking is fun! I find it very therapeutic, a stress buster."
George Orwell,"Most people get a fair amount of fun out of their lives, but on balance life is suffering, and only the very young or the very foolish imagine otherwise."
Phylicia Rashad,"If I had known being insane was so much fun, I'd have gone crazy long ago."
Tiger Woods,"Don't force your kids into sports. I never was. To this day, my dad has never asked me to go play golf. I ask him. It's the child's desire to play that matters, not the parent's desire to have the child play. Fun. Keep it fun."
Prince Harry,"You've got to have fun in life. Otherwise, wow - imagine life without fun."
Chuck Feeney,"I believe strongly in 'giving while living.' I see little reason to delay giving when so much good can be achieved through supporting worthwhile causes today. Besides, it's a lot more fun to give while you live than to give while you are dead."
Robin Williams,"The 'Aladdin' thing - that's not work; that's just fun. Three days in the recording studio going mad, then the animators do all the work. Not a bad way to cash a large check, my friend."
Flip Wilson,Get well cards have become so humorous that if you don't get sick you're missing half the fun.
SZA,I make bad decisions frequently. They're fun.
Patrick Lencioni,"Life is full of surprises: new opportunities come up; that's part of the fun - the adventure of life. The thing is, chaos doesn't allow us to enjoy the adventure."
Nyjah Huston,"That is the most fun part of skateboarding, the challenges. There are always new possibilities."
Dave Mustaine,"The Bible and several other self help or enlightenment books cite the Seven Deadly Sins. They are: pride, greed, lust, envy, wrath, sloth, and gluttony. That pretty much covers everything that we do, that is sinful... or fun for that matter."
Tom Brady,"So many guys are so conservative with their hair, and I always joke with all my buddies when they mess with me, and I'll say, 'That's right, keep the same haircut for ten years.' How fun is that?"
Philip Treacy,Wearing a hat is fun; people have a good time when they're wearing a hat.
Robert Baden-Powell,"My belief is that we were put into this world of wonders and beauty with a special ability to appreciate them, in some cases to have the fun of taking a hand in developing them, and also in being able to help other people instead of overreaching them and, through it all, to enjoy life - that is, to be happy."
Herodotus,"If a man insisted always on being serious, and never allowed himself a bit of fun and relaxation, he would go mad or become unstable without knowing it."
Clint Eastwood,Aging can be fun if you lay back and enjoy it.
Elliott Erwitt,"I appreciate simplicity, true beauty that lasts over time, and a little wit and eclecticism that make life more fun."
Keke Palmer,I think people should have fun. And don't get so down on yourself. Enjoy life and be the best person you can be.
Jocko Willink,"It's not fun to get out of bed early in the morning. When the alarm goes off, it doesn't sing you a song: it hits you in the head with a baseball bat. So how do you respond to that? Do you crawl underneath your covers and hide? Or do you get up, get aggressive, and attack the day?"
Dean Ornish,"One of the reasons I'm excited by what visionary Elon Musk has done with the Tesla is to show that you can reduce global warming and drive a powerful, fun car. A cool car helps make a cooler planet."
Katie Holmes,"It's kind of fun being the cute, little one. In fact, I'm finding it hard to grow out of that."
Kara Walker,"It feels like a game, this work I do. It is totally heartfelt, and I love the sticky terrain, the straight-up cartoons, how the irrepressible and icky rise to the surface. But I am not just trying to call forth bugaboos and demons for the sake of it, for fun."
Tommy Shaw,"You can have fun, but you also have to put on your thinking cap every day."
Paris Hilton,"I get half a million just to show up at parties. My life is, like, really, really fun."
Matthew Mercer,"Time and time again, the players constantly surprise you and often not do at all what you expect and completely muck up your preparation, and that's kind of the beauty of the game. It wouldn't be as fun to the DM if everything worked out exactly how you thought it would."
DeMar DeRozan,"My mom always told me: Never make fun of anybody, because you never know what that person is going through. Ever since I was a kid, I never did. I never did."
Bono,"As a rock star, I have two instincts, I want to have fun, and I want to change the world. I have a chance to do both."
Rihanna,"I want to give people a taste of the Caribbean, and show them the fun side of me."
Shaun White,"Skateboarding is training, but I don't think of it as training. It's fun."
Connor McDavid,It's more fun to be playing hockey than doing anything else.
Sandra Bullock,"Poop humor is fun. If you do the toilet scenes well and commit to them, they can be really, really powerful."
Kim Kardashian,I think it would be so much fun to be in the White House.
Brie Bella,It's not even about looking good; it's about feeling good inside. Celebrity Sweat makes everyone aware of that but in a fun way with their favorite athletes.
David Bowie,I feel confident imposing change on myself. It's a lot more fun progressing than looking back. That's why I need to throw curve balls.
Choi Si-won,People know me as just this handsome guy - a very handsome guy. But I can also be funny and fun.
Chuck Palahniuk,"If you knew that your life was merely a phase or short, short segment of your entire existence, how would you live? Knowing nothing 'real' was at risk, what would you do? You'd live a gigantic, bold, fun, dazzling life. You know you would. That's what the ghosts want us to do - all the exciting things they no longer can."
Daniel Levitin,"When you're at work, be fully at work. And let your leisure time be what it's meant to be - restorative and fun."
Magnus Carlsen,I spend hours playing chess because I find it so much fun. The day it stops being fun is the day I give up.
Evan Peters,I'm goofy. I'm silly. I like to have fun.
MF Doom,"Being older now, grown, I'm like, 'What do we really do that's fun?' I'm kind of corny when you think about it. What could I rhyme about? Let me see, um, I gotta pay the rent today."
Terry Pratchett,Writing is the most fun you can have by yourself.
Jesse Plemons,"I did a Coca-Cola commercial when I was about two and a half years old, and then me and my family were extras in a bunch of Westerns. I loved dressing up and stepping into this imaginary world, and it was fun to get outside of my tiny little town with a bunch of movie weirdos."
Cazzie David,"It's so funny how social media was just this fun thing, and now it's this monster that consumes so many millennial lives."
Kaetlyn Osmond,"To pursue anything, you've got to have fun with it and to just never give up on it."
Jewel,"Love bravely, live bravely, be courageous, there's really nothing to lose. There's no wrong you can't make right again, so be kinder to yourself, you know, have fun, take chances. There's no bounds."
Brian Wilson,"Summer means happy times and good sunshine. It means going to the beach, going to Disneyland, having fun."
Kyle Gass,It's always fun to play the hometown.
Rick Riordan,My goal in the classroom was always to make sure they were having so much fun that they didn't realize they were learning.
Leo Buscaglia,Food is celebratory. People who don't cook don't know how much fun they're missing.
Ariana Grande,"I always knew that St. Jude was an amazing organization but meeting the kids and seeing how the hospital works first hand was truly beautiful. It doesn't feel like a regular hospital all dreary and sad. It's a colorful, beautiful, comfortable, fun place to live and the energy is wonderful."
Park Bo-gum,"I learned playing cello in 'Cantabile' and Go in 'Reply 1988.' In 'Moonlight Drawn by Clouds,' I learned horse riding and Geomungo. It's fun to learn new things."
Chris Tucker,"You don't know who you messing with man, I slap people for fun. That's what I do man! You wanna play rough, huh, I kill for fun!"
The Undertaker,"I've had both my eye sockets crushed, I've been set on fire, uh, that was not fun, I've torn a pec, torn biceps."
Eric Dickerson,"I'm just not the outgoing bubble of energy. But if I know you, it's different. Practical jokes. Have fun. I'm not looking for any new friends. I got my friends."
Hilary Farr,I happen to love creating handmade ornaments even when I mess up I still have fun.
James St. James,"The Club Kids were about fun. Wild, messy fun - the more debauched, the better."
Bill Murray,"I realized the more fun I had, the more relaxed I was working, the better I worked."
Kin Hubbard,"Fun is like life insurance; the older you get, the more it costs."
Sturgill Simpson,"I worked for Union Pacific. I started out as a conductor at an intermodal switching facility outside of Salt Lake City. We'd pull in trains from all over the country, break them apart, consolidate the freight, and build other trains. It was great until I screwed up and took a management position. Then it became no fun very quickly."
Dan Bilzerian,Climbing the mountain is always more fun than sitting at the top. It's just you have to find different mountains to climb.
Karl-Anthony Towns,"All those teams I was on that were successful were the ones that everyone had love for each other and had fun. Things that seem minuscule - joking around, laughing, conversing, all those things that seem childish - that is what builds camaraderie."
Antonio Brown,"In a competition, there's always winners and losers. And I think everyone is here to win, which makes it fun for us all."
Tom Segura,I don't want to lose weight to live long or be healthy. I just want to be able to make fun of fat people again and know for sure that they're fatter than me.
Ciara,"Whatever you do, have fun while doing it. That's important for me."
Roman Reigns,"Don't worry about the pressure or the responsibility. Just live in it, have fun, and when everything seems to be going right, just stay humble and remember your family."
Vanessa Hudgens,"So many people try to grow up too fast, and it's not fun! You should stay a kid as long as possible!"
Steve Prefontaine,"Every once in a while I think, 'What am I doing out here running, busting myself up? Life could be so much easier. The other guys are out having fun, doing other things, why not me?'"
Tara Westover,"Not knowing my birthday had never seemed strange. I knew I'd been born near the end of September, and each year I picked a day, one that didn't fall on a Sunday because it's no fun spending your birthday in church."
Eileen Caddy,"Live and work but do not forget to play, to have fun in life and really enjoy it."
Eliza Coupe,"My hands are huge. When I was on 'Scrubs,' Zach Braff used to make fun of them all the time. And now I made some list. I guess Jennifer Garner is on the top of the list for best hands and I'm fourth down. But that's for people who really like an NBA star's hands."
Joe Ingles,I loved my juniors growing up and how fun it was.
Edward de Bono,Creativity is a great motivator because it makes people interested in what they are doing. Creativity gives hope that there can be a worthwhile idea. Creativity gives the possibility of some sort of achievement to everyone. Creativity makes life more fun and more interesting.
Chick Corea,"You don't have to be Picasso or Rembrandt to create something. The fun of it, the joy of creating, is way high above anything else to do with the art form."
Andy Rooney,If dogs could talk it would take a lot of the fun out of owning one.
Margot Robbie,Playing a bad guy is always more fun than playing the good guy.
Lemmy,It's much more fun to be full of hope than pessimism any day of the week.
Daniel Goleman,"Emotions are contagious. We've all known it experientially. You know after you have a really fun coffee with a friend, you feel good. When you have a rude clerk in a store, you walk away feeling bad."
Denzel Washington,My role 14 years ago in Richard III - that was the first time I played a bad guy and learned a lot about it - they have all the fun!
Joe Exotic,"I'm outspoken, good looking, love to party and have fun."
21 Savage,I feel like I had more fun when I was young.
Jamie Anderson,You need a GoPro camera and some fun mounts to capture the chaos.
James May,Someone once told me that I was 12 inside. The only thing 12-year-olds crave is more Lego. Lego is fun; it's therapeutic. It's a beautiful sensation when you click the pieces together.
Israel Adesanya,"When I'm having fun, I'm the best in the world."
Kate Bosworth,"It's so different when you change your hair color, you're treated so differently. It's a very funny experience. It's fun - I love changing up my hair."
Aaron Donald,It's a lot more fun when you're winning than losing.
James Rosenquist,"You live till you die, and that's the end of it. What good is your legacy when you are dead? I worry about being alive, selling work, having fun, moving and doing things when I am alive."
Miranda Cosgrove,"My mom is a really good cook. I didn't get the cooking gene, but she cooks this really amazing dinner every Christmas, and that's always really fun."
Clyde Tombaugh,Can you imagine young people nowadays making a study of trigonometry for the fun of it? Well I did.
Yani Tseng,"Most recently, I learned another hobby: baking. It's so much fun to mix all the ingredients and to see the cake come out nice. It's so rewarding when the cake comes out great and tastes great."
John Williams,"I feel very lucky, and the work that I do doesn't depend on much. If your vision's still good, and your hands - I have no arthritis in my hands, and I play the piano very easily - I don't think there's any reason to deprive oneself of the fun of working. Music is so rewarding."
Stevie Wonder,"When I was a child, kids used to make fun of me because I was blind. But I just became more curious, 'How can I climb this tree and get an apple for this girl?' That's what mattered to me."
James Marsden,"Over the years, I've learned that you can have fun with the fabrics and other elements, but if it's not tailored right, you'll blow it."
Jordan Henderson,"I love to get to Dubai. It's an impressive place, and you can do lots of different things there - beach, shopping, and other fun things."
Willow Smith,If you're not really having fun then there's no point of really trying.
Sanya Malhotra,I was extremely honoured and privileged to have had the opportunity to visit Oxford University. It was a great experience to share personal anecdotes from my career and my journey and to indulge in a fun interactive session with the students there.
Peter Jones,"Business is about making money but it is also about having fun, so get your character across."
Meryl Streep,"Don't waste so much time thinking about how much you weigh. There is no more mind-numbing, boring, idiotic, self-destructive diversion from the fun of living."
Dan Buettner,"Have fun, be active. Ride a bike instead of driving, for example."
Alan King,"Comedy is a reflection. We create nothing. We set no styles, no standards. We're reflections. It's a distorted mirror in the fun house. We watch society. As society behaves, then we have the ability to make fun of it."
Maya Angelou,"Don't get older just to get wiser. If you get older, you will be wiser, I believe that - if you dare. But get older because it's fun!"
Halima Aden,Skin care is so much more important than makeup. Makeup is for when you're having fun and going out. But your skin is forever.
Alexa Bliss,"Obviously, wrestling is a lot of fun, and I love it. But on the mic is where I have the most fun."
Angelina Jolie,"All women do have a different sense of sexuality, or sense of fun, or sense of like what's sexy or cool or tough."
"Chris Harris, Jr.","Once I retire, I would definitely love to be a DJ. That would be fun."
LeBron James,"When you work out or you're doing anything active, it's more fun as a group. You may lose track of the time, and the next thing you know, you're working out for two hours because you're having fun."
Siouxsie Sioux,"There is a fun, flippant side to me, of course. But I would much rather be known as the Ice Queen."
Gautam Singhania,"The fun of sitting around Pangong Lake with 40 guys around a fireplace, having a glass of wine... staying in one camp together... that's an experience. Waking up at 5 in the morning, watching the sun come up. You don't do these things in Bombay."
Ralph Macchio,"I did an episode of 'Law & Order: Criminal Intent' with Jeff Goldblum, which was fun because I've known him for years."
Scarlett Johansson,I definitely believe in plastic surgery. I don't want to be an old hag. There's no fun in that.
Joe DiMaggio,"When baseball is no longer fun, it's no longer a game."
Bruno Mars,I think that success is having fun.
Nick Carter,"As long as you're having fun and still doing stuff, it doesn't matter what other people think."
Jay-Z,"That's why this generation is the least racist generation ever. You see it all the time. Go to any club. People are intermingling, hanging out, having fun, enjoying the same music. Hip-hop is not just in the Bronx anymore. It's worldwide. Everywhere you go, people are listening to hip-hop and partying together. Hip-hop has done that."
Fran Lebowitz,Children are the most desirable opponents at scrabble as they are both easy to beat and fun to cheat.
Gwendoline Christie,"I absolutely love to relax and have fun. I like socializing; I like chatting. I like dancing, mixing with friends."
Jonathan Carroll,"It's always fun to walk down the street with or behind a really beautiful woman, for no reason other than to see how the world reacts to them."
Kathy Griffin,"I have no limits, no filter, no class, no poise. No decorum. Just fun."
Elizabeth Joan Smith,No woman has an abortion for fun.
Benedict Cumberbatch,"The further you get away from yourself, the more challenging it is. Not to be in your comfort zone is great fun."
Bryan Callen,I guess I am attracted to older women. I'm looking for a 40-something who has had her heart broken two or three hundred times. She's going to be fun!
Allyson Felix,"The biggest way I stay motivated is to run with a group of friends. Sometimes it's hard to get going by yourself, but if you have a plan and a meeting time, you know this run will happen for sure. It's a way to have fun - while also getting in a workout. Plus it distracts from pain, helps you fight fatigue, and gives you that extra push."
Bethany Mota,"For my fragrance, I knew I wanted something sweet but with a different side to it. I have a lot of vanilla notes and bakery shop scents, but then I also have muskier notes that make it a bit edgier. It's fun but also sophisticated."
Tulisa,"Don't get me wrong: if I'm having fun, I'm going to have fun. But I need a lot of quiet time."
Steve Sabol,"The autumn wind is a pirate. Blustering in from sea with a rollicking song he sweeps along swaggering boisterously. His face is weather beaten, he wears a hooded sash with a silver hat about his head... The autumn wind is a Raider, pillaging just for fun."
Paula Creamer,Find a good teacher that will keep the game fun. Work hard and don't be afraid to have success or disappointment. That is what golf is all about.
Stan Lee,"I like being with people. I like talking to them. I like everything about my life, so it's fun."
Post Malone,I'm just a fun guy.
Geri Halliwell,"Perfectionism kills art. I find that if I criticise myself, it spoils the fun. You can get paralysed by analysis - it takes all the playfulness away."
Skai Jackson,"To complete my look, I like to add fun accessories such as a dainty necklace, bracelets and a ring."
Chrisette Michele,"Meeting all the wonderful, new people and people appreciating my new music has been a really fun and blessed ride."
Bretman Rock,"As long as you are doing things with a smile on your face, and you are having fun, then you are being unfiltered."
Chris Cleave,"Studying psychology is fun because you're always looking for the same things I think a writer should be looking for, which is the story behind the story."
Lana,"I do think I have more fun being a villain, definitely. It's just more fun to be a villain."
Boyan Slat,"Whenever you start working on something, you have to go about it with the underlying assumption that this puzzle has a solution, right? If you started a jigsaw puzzle not knowing whether all the pieces were in the box, it would not be a fun exercise."
Rich Eisen,"I just love hanging out with good company on a great, fun golf course."
Denise Van Outen,"I do like my breasts. They're great, so much fun. You can do what you like with them."
Cesar Millan,"Dog parks can be a fantastic way to socialize your dog, but it's important for owners to understand that a dog park isn't exercise and isn't a substitute for walk. A visit to the dog park is fun - play time."
Thomas Keller,Food should be fun.
Nipsey Russell,"My only mission is to look for fun, the lighter side of life. I spell it fool-osophy."
Salma Hayek,"If you're feeling blue, lock yourself in a room, stand in front of a mirror, and dance - and laugh at yourself and be sexy. Dance the silliest and ugliest you've ever danced. Make fun of yourself and try to recover your sense of humor."
Alex Lowe,The best climber is the one who has the most fun.
Viv Richards,"The true Caribbean people... we are carnival people, we are vibrant people, not dead people. We like to be heard and we like to have fun."
Ogden Nash,"Some debts are fun when you are acquiring them, but none are fun when you set about retiring them."
Alexandra Roach,"I think the most important thing is to have fun, and not to take things too seriously. Once you start doing that, then you'll start to crumble."
Steve Martin,"'Dirty Rotten Scoundrels' is a good one because it not only turned out, I think, to be a really funny movie but it was also a delight to shoot. We were in the South of France, working with Glenne Headly and Michael Caine and Frank Oz the director - who were just fun."
Ben Feldman,"My aunt is a famous L.A. chef, Susan Feniger, and she's got Street and Border Grill. So a fun night out for me is to go to my aunt's restaurants."
