author,quote
P. J. O'Rourke,"Liberals are always proposing perfectly insane ideas, laws that will make everybody happy, laws that will make everything right, make us live forever, and all be rich. Conservatives are never that stupid."
Timothee Chalamet,"We're only here for so long. Be happy, man. You could get hit by a truck tomorrow."
Irina Shayk,What I've never understood is why some women use plastic surgery to make themselves more attractive to men. The most beautiful woman is someone who's happy and is always smiling.
"Odell Beckham, Jr.",Football is my sanctuary. It's where I go to escape. It's where I'm most happy.
William E. Gladstone,"Be happy with what you have and are, be generous with both, and you won't have to hunt for happiness."
Kiana Tom,"My personal goals are to be happy, healthy and to be surrounded by loved ones."
Jo Brand,Even nice things don't make you happy when you're tired.
Anne Morrow Lindbergh,"Don't wish me happiness - I don't expect to be happy it's gotten beyond that, somehow. Wish me courage and strength and a sense of humor - I will need them all."
William Butler Yeats,"Happiness is neither virtue nor pleasure nor this thing nor that but simply growth, We are happy when we are growing."
Henny Youngman,The secret of a happy marriage remains a secret.
Gretchen Bleiler,"Life is short, and if we enjoy every moment of every day, then we will be happy no matter what happens or what changes along the way."
Khris Middleton,"Nobody's perfect, so don't go out there and try to act like you got to live a perfect life. Be yourself, and be happy with it."
Andre Maurois,A happy marriage is a long conversation which always seems too short.
Elsa Schiaparelli,Eating is not merely a material pleasure. Eating well gives a spectacular joy to life and contributes immensely to goodwill and happy companionship. It is of great importance to the morale.
Oscar Wilde,"A man can be happy with any woman, as long as he does not love her."
Kristin Chenoweth,"If you can learn to love yourself and all the flaws, you can love other people so much better. And that makes you so happy."
Rodney Dangerfield,My wife and I were happy for 20 years. Then we met.
Maluma,I am very happy and honored to be part of the Sony ATV family.
Bertrand Russell,"A happy life must be to a great extent a quiet life, for it is only in an atmosphere of quiet that true joy dare live."
Lionel Messi,"There's nothing more satisfying than seeing a happy and smiling child. I always help in any way I can, even if it's just by signing an autograph. A child's smile is worth more than all the money in the world."
Ernest Hemingway,"There is no lonelier man in death, except the suicide, than that man who has lived many years with a good wife and then outlived her. If two people love each other there can be no happy end to it."
Mohammed bin Rashid Al Maktoum,"My theory on life is that life is beautiful. Life doesn't change. You have a day, and a night, and a month, and a year. We people change - we can be miserable or we can be happy. It's what you make of your life."
W. Somerset Maugham,"We are not the same persons this year as last; nor are those we love. It is a happy chance if we, changing, continue to love a changed person."
Park Shin-hye,"Less make-up is better, and it's always better to let your natural beauty shine. Essentially, be happy with your appearance."
Muhammad Yunus,Making money is a happiness. And that's a great incentive. Making other people happy is a super-happiness.
H. L. Mencken,"Puritanism. The haunting fear that someone, somewhere, may be happy."
Deepika Padukone,"I am someone who can't hold on to negativity or hold on to grudges. I might feel something at a certain point, but I get tired after that. I don't carry it with me. I forgive and forget very easily, and that's the only way to be happy and peaceful."
Jack Ma,"When I am myself, I am happy and have a good result."
Chelsea Leyland,The best thing about being a DJ is making people happy. There is nothing like seeing people get up from a table to dance or the expression on their face when they hear a song they love. I also love to educate people on music they have never heard.
Samuel Johnson,"To be happy at home is the ultimate result of all ambition, the end to which every enterprise and labor tends, and of which every desire prompts the prosecution."
Abhishek Bachchan,"A birthday is just another day where you go to work and people give you love. Age is just a state of mind, and you are as old as you think you are. You have to count your blessings and be happy."
Randhir Kapoor,I like my peace. I am happy in my space.
Henri Rousseau,Nothing makes me so happy as to observe nature and to paint what I see.
Elisabeth Kubler-Ross,"Learning lessons is a little like reaching maturity. You're not suddenly more happy, wealthy, or powerful, but you understand the world around you better, and you're at peace with yourself. Learning life's lessons is not about making your life perfect, but about seeing life as it was meant to be."
Leonardo DiCaprio,"If you can do what you do best and be happy, you're further along in life than most people."
Spike Milligan,All I ask is the chance to prove that money can't make me happy.
Alicia Keys,Simplicity makes me happy.
Sidonie Gabrielle Colette,Be happy. It's one way of being wise.
Demi Lovato,"I don't let anyone's insecurities, emotions, or opinions bother me. I know that if I am happy, that's all that matters to me."
Zoe Saldana,Happiness is nothing but temporary moments here and there - and I love those. But I would be bored out of my mind if I were happy all the time.
Herbert Spencer,No one can be perfectly free till all are free; no one can be perfectly moral till all are moral; no one can be perfectly happy till all are happy.
Samuel Goldwyn,"When someone does something good, applaud! You will make two people happy."
Christina Milian,"I enjoy being happy every day, and hopefully you can hear my happiness in my music. Life is beautiful."
Barbara De Angelis,We don't develop courage by being happy every day. We develop it by surviving difficult times and challenging adversity.
John Lewis,"Not one of us can rest, be happy, be at home, be at peace with ourselves, until we end hatred and division."
James Sinegal,"When employees are happy, they are your very best ambassadors."
Chaim Potok,"Come, let us have some tea and continue to talk about happy things."
Zoe Kravitz,"I'm happy to just sit in a cafe and watch people. It's my favorite thing to do, for sure."
John Locke,"A sound mind in a sound body, is a short, but full description of a happy state in this World: he that has these two, has little more to wish for; and he that wants either of them, will be little the better for anything else."
Steven Wright,I remember when the candle shop burned down. Everyone stood around singing 'Happy Birthday.'
Poppy,My mission is to make the world happy and cute and to love everyone. I think I'm doing a pretty good job.
Gerald Jampolsky,You can be right or you can be happy.
David Goggins,"The only way you gain mental toughness is to do things you're not happy doing. If you continue doing things that you're satisfied and make you happy, you're not getting stronger. You're staying where you're at. Either you're getting better, or you're getting worse. You're not staying the same."
Montesquieu,"If we only wanted to be happy, it would be easy; but we want to be happier than other people, and that is almost always difficult, since we think them happier than they are."
Taylor Swift,My ultimate goal is to end up being happy. Most of the time.
"Tyler, The Creator",I don't like people around me sad. I like making people happy.
Benjamin Disraeli,The palace is not safe when the cottage is not happy.
Zig Ziglar,"People are basically the same the world over. Everybody wants the same things - to be happy, to be healthy, to be at least reasonably prosperous, and to be secure. They want friends, peace of mind, good family relationships, and hope that tomorrow is going to be even better than today."
Julia Child,The secret of a happy marriage is finding the right person. You know they're right if you love to be with them all the time.
Marilyn Monroe,"I know I will never be happy, but I know I can be gay!"
Thomas Paine,"I believe in the equality of man; and I believe that religious duties consist in doing justice, loving mercy, and endeavoring to make our fellow-creatures happy."
Calum Scott,"Just celebrate who you are and be happy with you are. Take all the ups and downs together, as you're only human."
Franz Kafka,Youth is happy because it has the ability to see beauty. Anyone who keeps the ability to see beauty never grows old.
Paul Mooney,"If your hair is relaxed, white people are relaxed. If your hair is nappy, they're not happy."
Michael Jackson,"I'm happy to be alive, I'm happy to be who I am."
Jessica Lange,I regret those times when I've chosen the dark side. I've wasted enough time not being happy.
Eric Idle,I have been very blessed in my life and rewarded with good friends and good health. I am grateful and happy to be able to share this.
Michael Leunig,Love one another and you will be happy. It's as simple and as difficult as that.
Lawrence G. Lovasik,"Try to make at least one person happy every day. If you cannot do a kind deed, speak a kind word. If you cannot speak a kind word, think a kind thought. Count up, if you can, the treasure of happiness that you would dispense in a week, in a year, in a lifetime!"
Epicurus,"Of all the things which wisdom provides to make us entirely happy, much the greatest is the possession of friendship."
Mary Shelley,"And now, once again, I bid my hideous progeny go forth and prosper. I have an affection for it, for it was the offspring of happy days, when death and grief were but words, which found no true echo in my heart."
Paul Theroux,I am happy being what I am.
Bob Ross,"There are no mistakes, only happy accidents."
Anne Hathaway,"I gave up my struggle with perfection a long time ago. That is a concept I don't find very interesting anymore. Everyone just wants to look good in the photographs. I think that is where some of the pressure comes from. Be happy. Be yourself, the day is about a lot more."
Lyndon B. Johnson,"I have learned that only two things are necessary to keep one's wife happy. First, let her think she's having her own way. And second, let her have it."
A. A. Milne,The third-rate mind is only happy when it is thinking with the majority. The second-rate mind is only happy when it is thinking with the minority. The first-rate mind is only happy when it is thinking.
Vidya Balan,Life has been kind to me. I am happy with the love and appreciation that I have been getting throughout my career. I feel blessed.
Kylian Mbappe,"I am happy, and I am living the life I always dreamed of."
Christian Nestell Bovee,No man is happy without a delusion of some kind. Delusions are as necessary to our happiness as realities.
Walter Payton,"I am happy to say that everyone that I have met in my life, I have gained something from them; be it negative or positive, it has enforced and reinforced my life in some aspect."
Warren Buffett,Only buy something that you'd be perfectly happy to hold if the market shut down for 10 years.
John Ruskin,"In order that people may be happy in their work, these three things are needed: They must be fit for it. They must not do too much of it. And they must have a sense of success in it."
Princess Diana,"I think the biggest disease the world suffers from in this day and age is the disease of people feeling unloved. I know that I can give love for a minute, for half an hour, for a day, for a month, but I can give. I am very happy to do that, I want to do that."
Richard Branson,"Too many people measure how successful they are by how much money they make or the people that they associate with. In my opinion, true success should be measured by how happy you are."
Kim Kardashian,"At the end of the day, life is about being happy being who you are, and I feel like we are so blessed to have the support system and the best family to really just support each other no matter what we're going through."
Lzzy Hale,"You can't please everyone. There's always going to be someone disappointed, so you might as well make yourself happy and Be You."
Katy Perry,"I'm happy, I'm in a good place, I'm looking forward to my future."
Tom Bodett,"They say a person needs just three things to be truly happy in this world: someone to love, something to do, and something to hope for."
George Orwell,Men can only be happy when they do not assume that the object of life is happiness.
Hugh Downs,"A happy person is not a person in a certain set of circumstances, but rather a person with a certain set of attitudes."
Oliver Tambo,"The fight for freedom must go on until it is won; until our country is free and happy and peaceful as part of the community of man, we cannot rest."
Zendaya,Find something that makes you happy and go for it.
Karen Civil,"Everything is a learning lesson, good and bad, so I am happy with the way things are, and I learned from everything negative. I am in a great space now, so I wouldn't change a thing!"
Voltaire,"Use, do not abuse... neither abstinence nor excess ever renders man happy."
Felipe Massa,"I am happy to start from zero, to create, to restart."
Aldous Huxley,"Perhaps it's good for one to suffer. Can an artist do anything if he's happy? Would he ever want to do anything? What is art, after all, but a protest against the horrible inclemency of life?"
Ted Turner,"To be happy in this world, first you need a cell phone and then you need an airplane. Then you're truly wireless."
Sulli,"My life is actually empty, so I feel like I'm lying to everyone by pretending to be happy on the outside."
Mark Victor Hansen,Dedicate yourself to the good you deserve and desire for yourself. Give yourself peace of mind. You deserve to be happy. You deserve delight.
Reba McEntire,"I have a lot to be thankful for. I am healthy, happy and I am loved."
Lil Durk,I'm happy with the person I become.
Madison Beer,"People say I'm too skinny, but if I gain a little weight, they say I look chubby. You can't please everyone. As long as you're happy, that's all that matters."
Victor Hugo,"When grace is joined with wrinkles, it is adorable. There is an unspeakable dawn in happy old age."
Troy Polamalu,"There are times I am happy. There are times I am sad. But I always try to separate emotion from the need to reach for something stronger, deeper. And then no matter the emotion, I can reach for a stability that helps me accomplish what is the goal."
Agatha Christie,"One of the luckiest things that can happen to you in life is, I think, to have a happy childhood."
Angelina Jolie,"I'm happy being myself, which I've never been before. I always hid in other people, or tried to find myself through the characters, or live out their lives, but I didn't have those things in mine."
Sridevi,What you feel inside reflects on your face. So be happy and positive all the time.
Edward Gibbon,"But the power of instruction is seldom of much efficacy, except in those happy dispositions where it is almost superfluous."
Nicola Roberts,I think if you're happy and you're a nice person and you have a nice personality that always shines through.
Rene Girard,"We are aware that globalization doesn't mean global friendship but global competition and, therefore, conflict. That doesn't mean we will all destroy each other, but it is no happy global village, either."
Sonam Kapoor,"I feel I am lucky. I am grateful for this life that God has given me. I am happy, as I am getting to do work that I want to do and enjoy doing it."
Blaise Pascal,"If our condition were truly happy, we would not seek diversion from it in order to make ourselves happy."
Arnold Schwarzenegger,Money doesn't make you happy. I now have $50 million but I was just as happy when I had $48 million.
Yanni,"A simple life is good with me. I don't need a whole lot. For me, a T-shirt, a pair of shorts, barefoot on a beach and I'm happy."
Marco Pierre White,"I think self-discovery is the greatest achievement in life, because once you discover yourself and accept what you are, then you can fulfil your true potential and be happy."
Ben Shapiro,"Socialism violates at least three of the Ten Commandments: It turns government into God, it legalizes thievery and it elevates covetousness. Discussions of income inequality, after all, aren't about prosperity but about petty spite. Why should you care how much money I make, so long as you are happy?"
John Kennedy,"Beto's copy of the Bill of Rights goes from one to three. Mine includes the Second Amendment. But there are a whole host of people here in Washington... they would be happy to confiscate America's guns. And if you don't believe that, then you probably also still believe in Bigfoot."
Robert Anthony,"Most people would rather be certain they're miserable, than risk being happy."
James D'arcy,"There are lots of people I admire and respect, but I don't necessarily want to be like them. I'm too happy being myself."
Paul Bloom,"We are constituted so that simple acts of kindness, such as giving to charity or expressing gratitude, have a positive effect on our long-term moods. The key to the happy life, it seems, is the good life: a life with sustained relationships, challenging work, and connections to community."
Britney Spears,"For me, success is a state of mind. I feel like success isn't about conquering something; it's being happy with who you are."
Paula Cole,I think it's important to find the little things in everyday life that make you happy.
Valerie Bertinelli,"Happiness is a choice. You can choose to be happy. There's going to be stress in life, but it's your choice whether you let it affect you or not."
Nick Vujicic,"Often people ask how I manage to be happy despite having no arms and no legs. The quick answer is that I have a choice. I can be angry about not having limbs, or I can be thankful that I have a purpose. I chose gratitude."
Christopher McCandless,I have had a happy life and thank the Lord. Goodbye and may God bless all!
Maria Montessori,The child who concentrates is immensely happy.
Mike Tyson,I'm just happy I'm not a phony.
Johnny Carson,"Never continue in a job you don't enjoy. If you're happy in what you're doing, you'll like yourself, you'll have inner peace. And if you have that, along with physical health, you will have had more success than you could possibly have imagined."
Leslie Caron,In order to have great happiness you have to have great pain and unhappiness - otherwise how would you know when you're happy?
Aesop,He that is discontented in one place will seldom be happy in another.
Joyce Meyer,"If someone decides they're not going to be happy, it's not your problem. You don't have to spend your time and energy trying to cheer up someone who has already decided to stay in a bad mood. Believe it or not, you can actually hurt people by playing into their self-pity."
Stephen King,"And in real life endings aren't always neat, whether they're happy endings, or whether they're sad endings."
Robin Wright,"If you're happy, if you're feeling good, then nothing else matters."
Heidi Klum,"I am generally a very happy and easygoing person. I also believe it's always better to meet people with a smile rather than looking cold, especially when you first meet. It changes everything."
Elin Hilderbrand,"I have long maintained that each of us has three chances a day to be happy: Breakfast, lunch, and dinner."
Barun Sobti,"I am pretty happy with myself. I am not saying I am flawless, but I am content with the way I am."
Chanakya,"He who is overly attached to his family members experiences fear and sorrow, for the root of all grief is attachment. Thus one should discard attachment to be happy."
Jaden Smith,"It's good to be happy and tell us how cool your life is and how awesome you are on social media. That's great because it inspires other people to be happy, too. But a lot of times, people are trying to be happy in the wrong ways - with money or with different things that are not true happiness."
Edgar Allan Poe,"I have no faith in human perfectability. I think that human exertion will have no appreciable effect upon humanity. Man is now only more active - not more happy - nor more wise, than he was 6000 years ago."
Paul Rudd,"Looking back, I'm really happy with the choices I've made in my career. I know for a fact I could be wealthier. Who knows, maybe I could be more successful, maybe not. I don't know. But just about every single thing I've ever done I've gone into with the right intentions, and that goes a long way."
Zlatan Ibrahimovic,I always put myself second - I like to make others happy.
Ranveer Brar,"If you're a happy person around food, you can be a professional chef. It's fueled by passion."
Rihanna,"When I see myself as an old woman, I just think about being happy. And hopefully, I'll still be fly."
Chelsea Handler,The love that comes from friendship is the underlying facet of a happy life.
Tracy Kidder,You do the right thing even if it makes you feel bad. The purpose of life is not to be happy but to be worthy of happiness.
Tom Watson,I'm very happy with my life. I am what I am. I don't worry about anything that I can't control. That's a really good lesson in life.
Joel Osteen,You can be happy where you are.
Solon,"Call no man happy until he is dead, but only lucky."
William Blake,"I have no name: I am but two days old. What shall I call thee? I happy am, Joy is my name. Sweet joy befall thee!"
James Madison,The happy Union of these States is a wonder; their Constitution a miracle; their example the hope of Liberty throughout the world.
Henri Poincare,"It is the harmony of the diverse parts, their symmetry, their happy balance; in a word it is all that introduces order, all that gives unity, that permits us to see clearly and to comprehend at once both the ensemble and the details."
Johnny Knoxville,"I'm lucky enough to be with someone, and I am happy."
Carolyn Haywood,"Children are not only innocent and curious but also optimistic and joyful and essentially happy. They are, in short, everything adults wish they could be."
Erich Fromm,"Who will tell whether one happy moment of love or the joy of breathing or walking on a bright morning and smelling the fresh air, is not worth all the suffering and effort which life implies."
Michael Morpurgo,"Wherever my story takes me, however dark and difficult the theme, there is always some hope and redemption, not because readers like happy endings, but because I am an optimist at heart. I know the sun will rise in the morning, that there is a light at the end of every tunnel."
Charles Leclerc,Being honest with myself is something I like. I am happy that I don't make excuses when I make a mistake. This is a good way to improve in the fastest way.
Saint Teresa of Avila,"I was living an extremely burdensome life, because every time I prayed, I became more clearly aware of my faults. On the one hand, God was calling me. On the other, I was following the way of the world. Doing what God wanted made me happy; but I felt bound by the things of this world."
Novak Djokovic,"I'm a happy man, because I am successful in what I do, of course; but what makes me most happy is I have people around me that I love and who love me back. This, for me, is the most important thing. Nobody likes to be alone."
Suzanne Weyn,"Perfect happiness would be knowing that all my family and friends were happy and safe. Then I'd go to a tropical island with my husband where it was gorgeous and fun all day long and interesting and fun all evening. Good food and dancing would be nice, too, and weekly visits from those safe and happy family and friends. Plus world peace."
Walt Whitman,"In the confusion we stay with each other, happy to be together, speaking without uttering a single word."
Ogden Nash,"Children aren't happy with nothing to ignore, and that's what parents were created for."
Heart Evangelista,Happy Skin is all about natural beauty. They don't want you to wear something that's harsh on your skin and I want that as well.
Aretha Franklin,Being a singer is a natural gift. It means I'm using to the highest degree possible the gift that God gave me to use. I'm happy with that.
Cat Zingano,Nothing always stays the same. You don't stay happy forever. You don't stay sad forever.
Troian Bellisario,"Seeing my friends succeed, find love, or just feeling content makes me feel unconditionally happy."
Tiffany Darwish,"If it's going to make you happy, go for it - life is short."
William Morris,"We shall not be happy unless we live like good animals, unless we enjoy the exercise of the ordinary functions of life: eating, sleeping, loving, walking, running, swimming, riding, sailing."
Lynda Resnick,"When you wake up each morning, you can choose to be happy or choose to be sad. Unless some terrible catastrophe has occurred the night before, it is pretty much up to you. Tomorrow morning, when the sun shines through your window, choose to make it a happy day."
Rafael Nadal,"The glory is being happy. The glory is not winning here or winning there. The glory is enjoying practicing, enjoy every day, enjoying to work hard, trying to be a better player than before."
Sheena Iyengar,"As we get older, we get better at choosing in ways that will make us happy. We do a better job at picking activities that make us happy, and at spending time with people who make us happy. We're also better at letting things go."
Sebastian Vettel,"There are some things that you can fulfil with money, but at the end of the day these are not the things that make you happy. It is the small things that make life good."
Johnny Weir,"I don't take on a project unless I know the end result is going to make me happy. If I can't give 100 percent to something, I choose not to do it because it's very difficult to have so many pots on the fire at one time."
Sharon Draper,"Perfect happiness is a beautiful sunset, the giggle of a grandchild, the first snowfall. It's the little things that make happy moments, not the grand events. Joy comes in sips, not gulps."
21 Savage,"I don't care about what nobody say or how nobody feel. I'm happy, I'm living my life, and that's what it is."
Woody Allen,"The talent for being happy is appreciating and liking what you have, instead of what you don't have."
Zsa Zsa Gabor,"All my life, I have been a positive thinker... I have always been able to survive by telling myself that no matter how bad things are, they will one day be better. And that out of every event - no matter how tragic - one can always find a way to survive and even, perhaps, to be a little bit happy."
Drew Barrymore,I think that being happy makes the biggest impact on your physical appearance.
Dan Quayle,"You all look like happy campers to me. Happy campers you are, happy campers you have been, and, as far as I am concerned, happy campers you will always be."
James Buchanan,"If you are as happy in entering the White House as I shall feel on returning to Wheatland, you are a happy man indeed."
Deepak Chopra,Research has shown that the best way to be happy is to make each day happy.
Richard Rohr,"The theological virtue of hope is the patient and trustful willingness to live without closure, without resolution, and still be content and even happy because our Satisfaction is now at another level, and our Source is beyond ourselves."
Paloma Elsesser,I'm happy to sparkle like a glazed disco ball.
Dolly Parton,"People say I look so happy - and I say, 'That's the Botox.'"
Saint Augustine,"Indeed, man wishes to be happy even when he so lives as to make happiness impossible."
Robert Green Ingersoll,Happiness is the only good. The time to be happy is now. The place to be happy is here. The way to be happy is to make others so.
Charles M. Schulz,"My life has no purpose, no direction, no aim, no meaning, and yet I'm happy. I can't figure it out. What am I doing right?"
Victoria Principal,"Success doesn't mean that you are healthy, success doesn't mean that you're happy, success doesn't mean that you're rested. Success really doesn't mean that you look good, or feel good, or are good."
Shirley Ballas,"I've discovered if you have a small circle of people you know you can rely on - in good times, bad times, happy times, sad times - who aren't going to judge you and will, sometimes, just sit and listen to you without saying anything, then I think you're very fortunate."
Ken Hensley,"I know why I am here and my only real focused goal is to live each day to the fullest and to try and honor God and be an encouragement to others. What the future holds is firmly in God's hands, and I am very happy about that!"
Babar Azam,I don't get happy with personal milestones. I get happy when my team wins.
Indira Gandhi,"Happiness is a state of mind, you know. I don't think you are permanently happy. One is happy about certain things and not so happy about others."
Logic,"Just because you got money doesn't mean you're gonna be happy, and just 'cuz you can buy everything in the world doesn't mean you're gonna find your purpose."
Eric Hoffer,You can never get enough of what you don't need to make you happy.
Sam Levenson,Just try to be happy. Unhappiness starts with wanting to be happier.
David Attenborough,"The question is, are we happy to suppose that our grandchildren may never be able to see an elephant except in a picture book?"
P. T. Barnum,"To me there is no picture so beautiful as smiling, bright-eyed, happy children; no music so sweet as their clear and ringing laughter."
Jennie,"I would like to say every moment counts for you, so make the time that you spend for your dreams a very special moment, make sure that you do something that you'll be happy with when you go back and look at yourself."
Alexandra Stoddard,"Happiness is the first principle of life. Happiness basically means well-being. It is always good and always a choice... We need to make the choice to be happy in a particular situation, just as it is, and at a given moment."
Hero Fiennes-Tiffin,"If you're good, you'll get work. And if I've got food in my fridge and clothes on my back, I'll be happy."
Buzz Osborne,"Stupidity knows no bounds and certainly no city limits, but by and large, 99 percent of the people who come to Melvins shows seem to be relatively well behaved... I'm happy and relieved by this."
Swami Sivananda,"Desire nothing, give up all desires and be happy."
Amy Winehouse,"If I died tomorrow, I would be a happy girl."
Friedrich Schiller,Happy he who learns to bear what he cannot change.
Janet Fitch,"A lot of people think they should be happy all the time. But the writer understands you need both. You need the whole piano: the richness of the whole human experience. Depression, suffering and anger are all part of being human."
Goldie Hawn,"The only thing that will make you happy is being happy with who you are, and not who people think you are."
Juhi Chawla,"There is an amazing power getting to know your inner self and learning how to use it and not fight with the world. If you know what makes you happy, your personality, interests and capabilities, just use them, and everything else flows beautifully."
