author,quote
Indra Nooyi,"I play the guitar when I want to relax. But to play the guitar, you cut the nails. So one day, I'll cut the nails off."
Joe Hisaishi,When I am on stage I am locked away in energy and in concentration. I hear and I think about nothing but the music and I can only relax when it is over.
Saquon Barkley,"Sometimes you just got to settle back and relax and be like, 'All right, Saquon, chill. You know what you're doing. Just do the little stuff.' The little stuff will get you there."
Felicity Kendal,I think you have to relax about aging. What else can you do?
Bruce Forsyth,"People think I am the crazy person on stage, but I know how to relax."
Bette Davis,To look back is to relax one's vigil.
Deshaun Watson,"What makes a home to me is the energy. I'm a big energy person, so somewhere that I can relax, feel free and not have to worry about anything."
Michael Greger,"Nitric oxide is a key biological messenger within the body. When released by the cells lining your arteries, it makes the walls of the arteries relax, allowing more blood to flow."
Simone Biles,I don't really think about the degree of difficulty or the possibility of making a mistake. I just try to relax and let my preparation and training take over.
Jackie Chan,"Sometimes I do need to go to karaoke, sometimes I need to relax."
David Dastmalchian,"Life is filled with tragedy, with long patches of struggle and with, I think, beautiful bursts of joy and accomplishment. Blessed with those moments, you just try to relax as much as possible and focus on the little things, like the joy of changing your baby's diaper."
Lena Dunham,"I'm not great at dating, but I need to do it to relax."
Rory Gallagher,Playing live is my natural element. It's too hard to relax in the studio because there are too many options. It's just not as exciting.
Aja Naomi King,"To relax, I love sitting back and turning my brain off and watching TV."
Stephen Chow,"I train my muscles, and I do a lot of stretching, and try to kick higher. But for me, practicing kung-fu is a way to relax myself."
Jessica Simpson,"There are certain things that make me relax, like writing my journal. That's the only time that I'm relaxing. It's the only time I really get to examine myself."
Simon Sinek,"The only time I waste is time I spend doing something that, in my gut, I know I shouldn't. If I choose to spend time playing video games or sleeping in, then it's time well spent, because I chose to do it. I did it for a reason - to relax, to decompress or to feel good, and that was what I wanted to do."
Samantha Stosur,"Tennis is all about mental toughness, and you have to keep your head in the game. I make time to relax away from competition pressures, travel and intense training schedules to make sure I'm looking after myself. Taking time out with family and friends helps to maintain the work-life balance everyone needs."
Shakuntala Devi,I relax completely when I'm at rest. I don't think of numbers; I don't think of work.
Dean Ambrose,"I keep my inner circle of people very small and tight, and I like to relax if I get a chance."
Jacqueline Emerson,"Once you get to that point when you can just be yourself and relax, I just think that you're so much happier in general."
Romain Grosjean,"I think I am disciplined when I need to be, and relax when I can."
Marit Bjorgen,"For me, it's important to relax and concentrate on what I want to do."
Eva Marie,"I wish I did have time to relax, but I'm a Virgo and it's just not in me."
Stephen Amell,"You have to relax when you're shooting an arrow. You can't be tense. And that just helps, in your day-to-day life."
Mithali Raj,"When you are on the field as a captain, the mind is always working. You cannot relax at any point of time. You are always focussing on what is going to be the next move, what if it doesn't work, what if the situation changes and you have to change your plan."
Johnny Depp,"I don't know if I can relax. Relax, I can't do. My brain, on idle, is a bad thing. I just get weird. I mean, not weird. I get, I get antsy."
Joey Chestnut,You need to stay calm the day of the contest. Not let the weather bother me and just relax.
Emily Weiss,"There's so much pressure on women to have it all together. There's always this 'next, next, next.' I hope Glossier encourages women to be O.K. wherever you are. Just, everyone, relax!"
Peter Bondra,"To me, it's like we're already in the playoffs. Every game is important for our position. We can't relax at all."
Eva Green,"Success is very ephemeral. You depend entirely on the desire of others, which makes it difficult to relax."
Sandra Bullock,"I was always incredibly driven and found it impossible to relax. I felt that if I slacked off for a minute to enjoy myself, then so many things would be missed."
Sarah Gadon,"In the summer, I love to go up north to a cottage and relax by the lake, swim, go canoeing... I also love riding my bike around Toronto, going to the farmer's market, cooking. That sounds simple, but it's a luxury you don't have when you're living in hotels."
Tom Cruise,"When I first started out all the attention could be a bit unnerving, especially when people stared. Now I find the best thing is to just relax. Being recognized is just something you have to get used to."
Irene Rosenfeld,"Sports have always been a really important part of how I energize myself, as well as how I relax. I spend a lot of my spare time with my family playing tennis, biking and rollerblading."
Tyson Chandler,"Yeah, I paint in my spare time, just to relax myself and wind down a bit."
Andrew Wiles,The only way I could relax was when I was with my children.
Rodrigo Duterte,Relax. I am not the man I am portrayed to be by some.
Angie Stone,I have a massage when I want to relax. I love being pampered. I love island massages when you're outside in the fresh air.
Massimiliano Allegri,"I am very busy. I work hard all the time. But I also need to relax; I need to disconnect. That's why I like horse-racing, spending time with my friends. It helps me to recover energy."
Cody Bellinger,"Sometimes, there is not a lot of pressure, so you can relax."
Vladimir Putin,"Above all, such sports as judo, in my view, teach people to relate to each other. They teach us to respect a partner, teach us to understand that an externally weak partner can not only put up worthy resistance, but, if you relax and take too much for granted, may even win."
Anna Karina,"Godard and I got married because I got pregnant. Then I lost the child and they couldn't do anything about it. So I went to a kind of, not a crazy house, but a place where you have to relax. I hated it."
Barbara Walters,"Wait for those unguarded moments. Relax the mood and, like the child dropping off to sleep, the subject often reveals his truest self."
Norman Rockwell,You must first spend some time getting your model to relax. Then you'll get a natural expression.
Andrew Weil,"Routines may include taking a warm bath or a relaxing walk in the evening, or practicing meditation/relaxation exercises. Psychologically, the completion of such a practice tells your mind and body that the day's work is over and you are free to relax and sleep."
Ron Howard,"I used to feel that I had to be dictatorial in order to be respected, but after I did a couple of TV movies, I began to see that authority came with the job. So I began to relax and let more people into the process, and my work really improved."
Stan Wawrinka,"I love the region around Lake Geneva. The landscape is beautiful, very peaceful, and such a nice place to relax and spend time outdoors. It's always a pleasure to come back home."
Nicolas Cage,I've gotten pretty good at leaving characters on the set. I go home and try to relax and regroup and be ready for the next day.
Ron Eglash,"If you take your thumb and your index finger and look right where they meet - go ahead and do that now - and relax your hand, you'll see a crinkle, and then a wrinkle within the crinkle, and a crinkle within the wrinkle. Right? Your body is covered with fractals."
Eva Gabor,"The average housewife goes to the restaurant to relax and enjoy the food. But when Eva walks in, she becomes the center of attention."
Aaron Siskind,"We look at the world and see what we have learned to believe is there. We have been conditioned to expect... but, as photographers, we must learn to relax our beliefs."
Usain Bolt,"I've learned over the years that if you start thinking about the race, it stresses you out a little bit. I just try to relax and think about video games, what I'm gonna do after the race, what I'm gonna do just to chill. Stuff like that to relax a little before the race."
Eddie Murphy,"I'm relaxed about my career. I've been making movies for over 20 years, so I've earned at least the right to relax."
Zlatan Ibrahimovic,"That's my hunger. If I start to relax, and I lose that, then I had better stop my football. I need that hunger. I still feel I need to do things 10 times better than other players. Just to be accepted and to improve myself."
Naguib Mahfouz,"I love Sufism as I love beautiful poetry, but it is not the answer. Sufism is like a mirage in the desert. It says to you, come and sit, relax and enjoy yourself for a while."
Paul Theroux,"I hate vacations. I hate them. I have no fun on them. I get nothing done. People sit and relax, but I don't want to relax. I want to see something."
Susan Hayward,"My life is fair game for anybody. I spent an unhappy, penniless childhood in Brooklyn. I had to slug my way up in a town called Hollywood where people love to trample you to death. I don't relax because I don't know how. I don't want to know how. Life is too short to relax."
Jean-Claude Van Damme,"But on average, I go to the gym about four or five times a week. Today, I'm so experienced in training - I'm actually listening to my body now. My body needs freedom. When I train I create serenity and I produce oxygen in my blood. It helps me to think better and relax. By training, you accentuate the problem."
Heather Graham,"To be honest, I feel like I think too much. So I like working out because it makes me kind of relax."
Brittany Howard,"I was a handful as a kid. I get bored easily. Now I'm pretty chill compared to back then. When I'm on the road, I watch Netflix and, at home, relax or fish."
Queen Latifah,I have a drum set in my dressing room. I play drums to relax and have some fun.
Bryson DeChambeau,"What's funny about me is that when I try and relax, and my body is in a fatigued or - you know, my muscles aren't feeling that great, I feel I only get worse. But when I go work out and do the things that are productive to helping off-set the weak muscles or hurt muscles, I feel like I can become a lot better after that."
Cate Blanchett,"There's an expression in Australia that's called 'Go Bush,' which means to get out of the city and relax. I try and 'go bush' to places where there's no cell reception. But, I don't get to do that often, so for the most part, it's just a state of mind."
Victoria Beckham,I can relax in L.A. I think I'm the only person in that town who doesn't want to act. I was an OK singer. I was an OK dancer. But acting? Never could do it.
Yo-Yo Ma,"With every year of playing, you want to relax one more muscle. Why? Because the more tense you are, the less you can hear."
Guy Lafleur,"I think it was always there and it was maybe a matter of bringing it out. It was harder than I thought it would be and I had to try harder. I had to regain my confidence, maybe the most important thing. I have learned a lot to relax. I know what I can do now, and I do it."
Brittany Bowe,"I'll get to the oval three hours beforehand and warm up for about 45 minutes off the ice. Then I'll stretch and get on the ice for 20 minutes. I'll cool down, then relax, close my eyes and think about what I need to do."
Zazie Beetz,"For me, a big thing growing up was naturalness - both in being and appearance. My mom never let me relax my natural hair. For so long, I thought I was ugly, and I still sometimes struggle with that. But now I've come to feel like this is me."
Marcus Samuelsson,Weekends are sacred for me. They're the perfect time to relax and spend time with family and friends.
Emily Ratajkowski,"I really like to have a moment alone at the house, either in the morning or when I come home from work, when I can just zone out at my computer, relax, stare out the window, get into a 'Game of Thrones' episode, go up on my roof, whatever, then go out to dinner."
Garth Brooks,"I'm a big movie fan. After a show, if I'm on the bus or a plane, it's often hard to get to sleep, so I'll watch a film. An action film can even relax me."
Lisa Edelstein,"Exercise helps me with stress. It changes your brain chemistry. I turn to Ashtanga yoga when I feel the need to relax. I love it, but it's not right for everybody. It's taught to you a little bit at a time, according to your body type and your strength. That keeps things challenging."
Diane Setterfield,"You have to relax, write what you write. It sounds easy but it's really, really hard. One of the things it took me longest to learn was to trust the writing process."
Usher,The beauty about living in Atlanta is that there aren't too many paparazzi here; you can just relax. And that really works for me and my children.
Ann-Margret,I tried in '71 to relax. I thought I gave my farewell tour.
Asafa Powell,"I think about cars to try and distract myself. It's a good way to relax, take your mind off everything."
Payal Kadakia,I plan my time to a 'T.' I plan when I am going to sleep; I plan when I am going to relax. I obviously leave time to have spontaneous life experiences - I think that's really important. But so much of it is setting up you mental energy in the right way to get the most out of your day and time.
Bernie Siegel,I use music in the operating room to help create a healing environment for patients and staff. There is a reason that certain heart rates are healthy and certain beats of music heal and relax us.
Arthur Godfrey,"He asked if I was a songwriter, and I said yeah, that I was in town because I'd won this contest. He said, okay, then he was gonna play me his hit, and started singing 'When it's time to relax, one beer stands clear... '"
Joe Cocker,"Well, we have this place in Telluride, Colorado. It's somewhere I can just get away and relax and think."
Thich Nhat Hanh,"Total relaxation is the secret to enjoying sitting meditation. I sit with my spine upright, but not rigid; and I relax all the muscles in my body."
Tom Felton,The only time I can really relax is up a tree or somewhere outside. I love being outside.
Clark Gregg,"In Jiu-Jitsu, every instinct you have wants to do everything but relax or breathe when someone's attacking you, and learning that takes a long time. I think that's why a lot of people stop at blue belt because it's really hard to do. It's hard to take that next step. It took me a long time."
Maren Morris,"I didn't move to Nashville with any inkling or dreams of getting a record deal. I didn't have those stars in my eyes. I just wanted to take a break, relax, and figure out songwriting."
Donovan Bailey,I'd like to be a more consistent starter. I'd like a smoother transition from crouching to running. I have to learn to relax during a race and how to breathe.
Francisco Javier Gomez Noya,"When I have an easy run, I like to listen to music and relax. When I have to train hard, I try to simulate race conditions, and in a race, you can't listen to music."
Ajinkya Rahane,"Personally, I take every match seriously and give off my best... My aim is to win and there's no time to relax."
Henrik Lundqvist,"I like to play music; play guitar - I love that. Play some golf in the summer. Just relax, enjoy the summer. That's nice."
James DeGale,"Prior to a fight when I have to make weight, obviously I can't eat all the rubbish - chocolate and stuff like that. Straight after I can relax and eat what I want."
Manuel Pellegrini,"A lot of young players relax a bit when they reach the first-team, thinking they have reached the finish line, but really, it's just the beginning."
Tom Jones,"Winning the Outstanding Contribution award is great, because you know you have won in advance. Previously, I have been really nervous during the ceremony because you have no idea if you are going to get called up on stage. This time I could relax and enjoy myself."
Brandy Norwood,"So when you get a chance to look at things and chill and relax, it makes you want it more, and that's why I'm so happy to be back!"
Andrea Bocelli,"It's very important for me to try to relax when I'm travelling, and playing my flute helps me to unwind."
Patrick Leahy,I relax more when I'm behind the camera than anything else. I love that.
Emma Healey,"I used to go to the gym with one of my best friends, and we seemed to have the same conversation over and over again. I was always saying, 'I'm still not pregnant, and I still haven't worked out what I'm writing,' and her answer to both was always, 'Just relax!'"
Adriana Lima,"I remember Tyra Banks giving me encouraging advice during my first Victoria's Secret commercial shoot. I was so nervous, and she told me to just relax and be confident - that made me feel very comfortable."
Rogier van der Heide,"By modulating the amount of blue in our environment, we can help people to relax, or to be alert; to fall asleep, or to stay awake."
John Mackey,I've been doing long-distance backpacking since 2002 when I hiked the Appalachian Trail. You start to calm down and relax and get into the slower rhythm of nature.
Dean Lewis,"When something is great, then you can sit back after the work is done and relax, but during the process I definitely am making sure everything is really, really good."
Carole Lombard,"Relax, Georgie, I'm just making my collar and cuffs match."
Romeo Miller,"Being the son of a father who works so hard, I always wanted to be able take a lot of load off of my dad so he can just relax."
Jennifer Morrison,"Cleaning is my favorite way to relax. I clear things out and get rid of the stuff I don't need. When the food pantry and the refrigerator are organized, I feel less stressed."
Sophie Winkleman,"18 to 19 is definitely a brilliant age. Equally, 50 or 60 should be good. Everything is done; you can relax a bit."
Dejan Lovren,In football you can never know. You relax and in one second it causes pressure.
Stan Musial,I'm a musician. I play harmonica for relaxation. A good way to relax and entertain people. An excellent way to have fun.
Columbus Short,I just can't relax. That's my problem.
Mike Daniels,"'JoJo's Bizarre Adventures' - it took a long time for that to get animated because the old-school animation wouldn't have the glorious nature of JoJo justice. Watching shows like that and 'Super Kia,' 'Black Clover,' 'Attack on Titan,' being able to watch some anime the night before the game definitely helps relax me."
Colin Hanks,"Normally, what I do for fun is just nothing. I try to just relax. Normally, it involves just relaxing and reading and maybe going out and meeting up with a friend. I live a very simple existence. I would much rather just sit around and listen to a couple of records and read the paper."
Didier Deschamps,"When there are hard times, the trend is to question yourself and to dig deep but when things go well you shouldn't relax and think things come easy or you need to put in less effort."
Donald Norman,"Sure, one can always get the students to relax and be happy - entertained, but although being laid back and relax can also lead to creativity, mostly it means that nothing much gets done."
Rivers Cuomo,"I wouldn't say that I relax and enjoy anything. But I think my pessimism helps. I never really expect anything good to happen, so when it does, it's a nice surprise."
Asa Butterfield,"To have that normality to come back to, to totally relax and not have to deal with a lot of the pressure that's put on young actors makes it a lot easier."
James Blunt,"I relax by catching up with my friends and family. When I am at home in Ibiza, I find the contrast of living on a divided island relaxing - with beauty and tranquillity in the north and a sense of fun, shallowness and celebration in the south."
Nicolas Cage,"One of the things that's interesting to me is I find things like caffeine and stunts actually relax me. When they're putting a bit of gel on my arm and lighting me on fire, or when I'm about to go into a high-speed car chase or rev a motorcycle up pretty fast, I find everything else around me slows down."
Vijay Sethupathi,"I'm excited and nervous about every film; once I understand the medium fully, I'll relax."
Shawn Mendes,"You can't get too comfortable and relax, because your world can flip overnight."
Tom Cruise,"I've learned to relax more. Everybody feels pressure in what they do, maybe mine is just a little different because there doesn't seem to be enough hours in the day to accomplish what I want to."
Roberto Firmino,"I like to relax; of course I do! But when I am inside the pitch, that is it. You have to go on full on from the first minute."
Tyler Hilton,"Just true to form with life sometimes - what you're trying to do doesn't necessarily work out, but what ends up happening can be a lot better. I just relax and say whatever is going to happen - happens."
Vanessa Williams,"I think there's a time to work, and everyone has to kind of adjust. And then there's a time to relax, and be the mom or take the kids on vacation when you need to wind down. So it's a matter of planning, and being able to map out your year or your week or let's start with the day. It is just being multi-tasking and being available."
Sherman Hemsley,"I was in a play in elementary school and had to jump up and run away. I was nervous and tripped and fell down and everyone laughed. Their laughter made me relax, so I pretended it was part of the show."
Curt Smith,And I think the first LP was perhaps too precious. It was our life's work up to that point; there was so much pain in trying to make the perfect statement. We couldn't relax and I think most people missed what we were trying to say.
China Machado,"I make myself lie down every afternoon; otherwise I'll be too exhausted by the night-time. If I can't nap, I'll watch a little bit of TV and just relax for two or three hours."
Tabu,I am never embarrassed to relax. I am not part of any rat race. I am very happy to be by myself.
Delhi Ganesh,"In fact, even during the audio release of 'Papanasam,' I said that I have reached a stage where I want to relax and travel, but work keeps coming."
Sanaa Lathan,I was working straight for nine months and I'm exhausted. I'm ready to relax for a little while and read. I don't want to work for work sake; I have to be excited about it.
Nathan Chen,"A lot of the things I do outside the rink are just to relax and recover. We spend so much time at the rink, so it's nice to decompress a little."
Anita Hassanandani Reddy,I feel mindless comedies make you relax - there are times when I come from shooting and watch comedy shows; they really change my mood.
Jennifer Saunders,"At home, I relax by gardening, or just pottering."
Ann McKee,"This is what I do. I look at brains. I'm fascinated by it. I can spend hours doing it. In fact, if I want to relax, that's one way I can relax."
Emerson Fittipaldi,You had to decompress the pressure before the race. I taught my heart to relax. I lay down before the race. It gave me more energy just before the race.
Carlo Ancelotti,"I like to be funny. I can't stay all the time focused, disciplined, controlled. Behaviour like that is impossible. If the players are too nervous before a game, I have to relax them, calm them."
Oscar,"Before every game I pray, I find solace. It helps me to relax and prepare."
Andrew Neil,"Whereas people increasingly get their news from the Internet, magazines have a different atmospheric to them. A magazine is something you sit down and relax with."
Michael Paterniti,"Albania is located sixty miles across the Adriatic Sea from Italy. It borders Montenegro and Kosovo to the north, Macedonia to the east, and Greece to the south. If you know nothing about 'the Land of the Eagles,' relax. You're not alone."
Jack Nicholson,"I worry from the moment I take a job. I worry about how I'm going to do it, if I can do it... Then I walk on set and the director says, 'Roll', and all of a sudden, all of it disappears and it's all happening, and I relax, and I'm doing what I do, and I'm not even thinking about it."
Robert Goulet,"I can tell jokes. I can talk to the audience. I can relax. I can change my songs whenever I want. I can change the tempos. I can change the mood, because I'm in charge."
Jon Hopkins,"I went to a hypnotherapist and learned how to hypnotize myself and explored orthogenic training, how to relax each part of your body."
Nate Holland,"Lake Pend Oreille is definitely my favorite place to be while in Sandpoint. I love to get out on a boat to enjoy water sports, camping, fishing, or just to relax and catch a sunset."
Case Keenum,That was one of the lessons I had to learn - just relax and play. Don't worry about what's happened in the past; don't worry what's going to happen in the future. You are playing a game you dreamed your whole life about playing. There's no sense in ruining it by worrying or doubting.
Bryan Cranston,"I don't really relax. When I sleep, I relax."
Emmanuelle Chriqui,"Generally for red carpet, I love to relax first. I love to work out. I love to eat well, drink tons of water beforehand, so on the night of the red carpet I feel good and ready to go. I also love to get a good body scrub."
Courtney Ford,"I would love to be on a show where I'm allowed to play a character that you're not suspicious of, from the get-go, and who's someone that you can just relax with, take in and like, right off the bat."
Derek Jacobi,"I never lose that terror of 'this is my last job, I'll never work again.' You can never relax and rely on whatever reputation you've built."
Olivier Theyskens,"I like to be lazy. I do like to be busy and really active, but when that's done, you can be sure I will be a lazy boy. I like to take time and relax and enjoy life."
Divya Agarwal,"If I have written anything, a person will comment using abusive language if they feel it's wrong. Why can't you relax and write properly."
Christopher McDougall,"I received the best advice for running I ever heard: 'You're not going to win, so just relax. If it feels like work, you're running too hard.'"
Oleksandr Usyk,I want to relax and spend time with my family.
Vernon Davis,"Whenever I was done with a scene, I'd go back to my trailer, relax and go over my lines. I'd think, 'I can't wait to get out there.'"
Channing Tatum,"In wrestling, there is no retreat. No way to slow things down. In wrestling, you advance and advance, and being tired is just a lie to make the other guy think he can relax. It's so hard - harder than anything I've ever done."
Stella Maxwell,"Personally, I like to be at home, relax, and just be around my friends."
Nathaniel Philbrick,"I watch a lot of bad TV. I spend my entire day reading and writing, and after dinner my idea of fun is just to watch a lot of bad TV. That's how I relax and stay in touch with modern culture."
Leah Remini,I'm not a neat freak. I don't mind things being messy but I mind them being dirty. I just can't relax in a dirty environment. I like things organized.
Anne Murray,I learned all I have to do is sing the best music I know how and put on the best show I know how and just relax with it and people enjoy it.
Ronnie Wood,I love to go to Ireland just to relax.
William Floyd,The one thing you can't do when you're highly ranked is relax.
Eugenie Bouchard,"If you're playing someone you care about, it's tough, and I don't want to be in that situation. We are playing big matches for big points and prize money, and I take it very seriously. I relax when I'm outside tennis."
Giada De Laurentiis,"I count on chiropractic sessions to keep my body aligned. Standing for hours can impact my posture, and that can throw the rest of my body out of whack. Acupuncture helps me relax and release stress. I'm also very into massage to help release tension in my back, neck, and shoulders."
Nick Saban,I don't ever want the players to relax in a game.
Elsa Hosk,I love to relax. It's my favorite thing in the world. I am very good at being like a grandma and staying in and watching 'Game of Thrones' or a movie. I think I could do that every night.
Chris Pronger,"I get up, I have breakfast, go work out, go to my eye appointment, come home, relax for a couple hours, and then go get my kids from school and start carpooling them around to their different activities and things they do."
Christopher Lambert,"To relax, I work."
Victoria Moran,Your body has something in the neighborhood of 40 trillion cells - quite a consulting committee. Call on it when you're confused or undecided. Relax quietly and ask your body what it has to say.
Sana Khan,"I'm taking my own time but I don't want to just relax either. Also, when you're looking for work, everybody approaches you, but I'm trying to target the right project that takes me a level up."
Chyler Leigh,"I work, and I'm a full-time mom, and it's hard for me to sit down and relax because it's like, 'Crap, there's something I'm forgetting.'"
Ardal O'Hanlon,"People love authenticity in comedy and, coming from a region, you get a very strong sense of place. They can place you straight away, so they can relax."
Jen Sincero,"If the point of an activity is to be relaxing, changing that point to money isn't a great idea. Then you have to show up for it differently, and that can take the fun out of it, absolutely. I'm a big fan of turning your hobbies into businesses, but not if it's the hobby you do to relax and unplug."
Brendan Schaub,"I'm near the beach, and I'm definitely a beach bum. For me, going to training and then going to the beach is kind of an escape for me to get away from everything and relax. It's really done wonders for me."
Stephen Hendry,"When you have a big lead, you relax and don't concentrate as much."
Erik Lamela,"The Premier League is so competitive so we have to be very attentive, very focused and not relax in any way - especially when it is thought to be a winnable game."
Rubina Dilaik,I realized that I am not meant to relax all the time. I have gotten into the system of working for 12 hours.
Neil Etheridge,"It's nice to come away from training and relax, get away from the pressures and get away from football and enjoy the downtime!"
